departamento;municipio;armas medios;cantidad;dia;mes;periodo;diasem
risaralda;pereira (ct);arma de fuego;1;1;2;2014;7
atlantico;barranquilla (ct);arma de fuego;1;3;2;2014;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;3;2;2014;2
valle;cali (ct);arma de fuego;1;4;2;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;6;2;2014;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;12;2;2014;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;13;2;2014;5
atlantico;barranquilla (ct);arma de fuego;1;14;2;2014;6
casanare;paz de ariporo;arma de fuego;1;21;2;2014;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;27;2;2014;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;28;2;2014;6
bolivar;cartagena (ct);arma de fuego;1;4;3;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;6;3;2014;5
cundinamarca;fusagasuga;arma de fuego;1;11;3;2014;3
atlantico;barranquilla (ct);sin empleo de armas;1;11;3;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;14;3;2014;6
cordoba;sahagun;arma de fuego;1;18;3;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;21;3;2014;6
risaralda;pereira (ct);arma de fuego;1;21;3;2014;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;2;4;2014;4
atlantico;barranquilla (ct);arma de fuego;1;3;4;2014;5
huila;villavieja;arma de fuego;1;4;4;2014;6
atlantico;barranquilla (ct);arma de fuego;1;9;4;2014;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;10;4;2014;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;15;4;2014;3
meta;villavicencio (ct);arma de fuego;1;16;4;2014;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;22;4;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;4;2014;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;7;5;2014;4
casanare;villanueva;arma de fuego;1;8;5;2014;5
valle;cali (ct);arma de fuego;1;9;5;2014;6
atlantico;barranquilla (ct);arma de fuego;1;14;5;2014;4
cauca;caloto;arma de fuego;1;17;5;2014;7
antioquia;medellin (ct);contundentes;1;18;5;2014;1
atlantico;barranquilla (ct);arma de fuego;1;21;5;2014;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;5;2014;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;4;6;2014;4
atlantico;barranquilla (ct);arma de fuego;1;5;6;2014;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;5;6;2014;5
atlantico;barranquilla (ct);arma de fuego;1;6;6;2014;6
atlantico;barranquilla (ct);arma de fuego;1;17;6;2014;3
huila;hobo;arma de fuego;1;25;6;2014;4
valle;caicedonia;arma de fuego;1;5;7;2014;7
valle;cali (ct);arma de fuego;1;17;7;2014;5
meta;acacias;arma de fuego;1;18;7;2014;6
atlantico;puerto colombia;arma de fuego;1;25;7;2014;6
atlantico;barranquilla (ct);arma de fuego;1;4;8;2014;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;5;8;2014;3
quindio;la tebaida;arma de fuego;1;11;8;2014;2
bolivar;cartagena (ct);arma de fuego;1;13;8;2014;4
santander;bucaramanga (ct);arma de fuego;1;20;8;2014;4
bolivar;calamar;sin empleo de armas;1;22;8;2014;6
casanare;villanueva;arma de fuego;1;26;8;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;1;9;2014;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;2;9;2014;3
meta;villavicencio (ct);arma de fuego;1;4;9;2014;5
tolima;ibague (ct);arma de fuego;1;4;9;2014;5
magdalena;santa ana;arma de fuego;1;9;9;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;12;9;2014;6
santander;bucaramanga (ct);arma de fuego;1;15;9;2014;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;9;2014;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;23;9;2014;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;9;2014;5
atlantico;soledad;arma de fuego;1;26;9;2014;6
huila;neiva (ct);arma de fuego;1;26;9;2014;6
meta;acacias;arma de fuego;1;26;9;2014;6
